gname,iyear,country,attacktype1,weaptype1,targtype1
23rd of September Communist League,1970,130,6,13,7
Black Nationalists,1970,217,2,5,3
Tupamaros (Uruguay),1970,218,1,5,3
New Year's Gang,1970,217,7,8,4
New Year's Gang,1970,217,7,8,2
"Weather Underground, Weathermen",1970,217,3,6,4
Left-Wing Militants,1970,217,7,8,4
Left-Wing Militants,1970,217,7,8,2
Armed Commandos of Liberation,1970,217,7,8,1
Eritrean Liberation Front,1970,65,9,13,4
Black Nationalists,1970,217,3,6,8
Strikers,1970,217,3,6,1
Black Nationalists,1970,217,7,8,1
Black Nationalists,1970,217,7,8,3
Tupamaros (Uruguay),1970,218,2,5,8
Black Nationalists,1970,217,3,6,8
Student Radicals,1970,217,3,6,4
White extremists,1970,217,7,8,22
Armed Forces of National Liberation- Venezuela (FALN),1970,222,6,13,1
Strikers,1970,217,3,6,14
White extremists,1970,217,7,8,14
Black Nationalists,1970,217,2,5,3
Black Nationalists,1970,217,3,6,2
Black Nationalists,1970,217,2,5,3
Left-Wing Militants,1970,217,7,8,2
White extremists,1970,217,3,6,15
Strikers,1970,217,3,6,20
Strikers,1970,217,3,6,1
Student Radicals,1970,217,7,8,4
New People's Army (NPA),1970,160,9,13,4
Left-Wing Militants,1970,217,7,8,2
Black Nationalists,1970,217,2,5,3
Strikers,1970,217,3,6,14
Black Nationalists,1970,217,3,6,19
White extremists,1970,217,3,6,2
White extremists,1970,217,3,6,15
Armed Revolutionary Independence Movement (MIRA),1970,217,7,8,2
Armed Revolutionary Independence Movement (MIRA),1970,217,7,8,21
Armed Revolutionary Independence Movement (MIRA),1970,217,7,8,1
Student Radicals,1970,217,7,8,4
Student Radicals,1970,217,7,8,8
Armed Revolutionary Independence Movement (MIRA),1970,217,3,6,1
Armed Revolutionary Independence Movement (MIRA),1970,217,3,6,1
Armed Revolutionary Independence Movement (MIRA),1970,217,3,6,1
Strikers,1970,217,3,6,14
Popular Front for the Liberation of Palestine (PFLP),1970,362,2,5,6
Student Radicals,1970,217,7,8,8
Popular Front for the Liberation of Palestine (PFLP),1970,362,7,8,14
Black Nationalists,1970,217,3,6,3
Left-Wing Militants,1970,217,3,6,1
Student Radicals,1970,217,7,8,4
Left-Wing Militants,1970,217,2,5,3
White extremists,1970,217,3,6,8
Student Radicals,1970,217,3,6,4
Black Nationalists,1970,217,3,6,3
Black Nationalists,1970,217,3,6,3
Left-Wing Militants,1970,217,7,8,2
Student Radicals,1970,217,7,8,8
Student Radicals,1970,217,3,6,8
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",1970,362,3,6,6
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",1970,199,3,6,6
Left-Wing Militants,1970,217,7,8,3
Left-Wing Militants,1970,217,7,8,4
"Weather Underground, Weathermen",1970,217,3,6,14
Black Nationalists,1970,217,7,8,14
White extremists,1970,217,7,8,8
New Year's Gang,1970,217,3,6,21
Strikers,1970,217,3,6,21
Strikers,1970,217,3,6,21
Strikers,1970,217,3,6,21
Strikers,1970,217,3,6,21
Left-Wing Militants,1970,217,3,6,4
White extremists,1970,217,3,6,14
Student Radicals,1970,217,7,8,4
Student Radicals,1970,217,3,6,8
Eritrean Liberation Front,1970,98,3,6,6
Student Radicals,1970,217,3,6,4
Left-Wing Militants,1970,217,7,8,4
Student Radicals,1970,217,7,8,3
Left-Wing Militants,1970,217,3,6,3
Black Nationalists,1970,217,7,8,14
1st of May Group,1970,185,6,13,2
Left-Wing Militants,1970,217,3,6,14
Student Radicals,1970,217,3,6,2
Left-Wing Militants,1970,217,3,6,4
Left-Wing Militants,1970,217,3,6,14
Left-Wing Militants,1970,217,3,6,2
Left-Wing Militants,1970,217,3,6,14
Armed Commandos of Liberation,1970,217,1,5,4
Rebel Armed Forces of Guatemala (FAR),1970,83,6,5,7
"Weather Underground, Weathermen",1970,217,3,6,3
"Weather Underground, Weathermen",1970,217,3,6,3
Ku Klux Klan,1970,217,7,2,14
White extremists,1970,217,7,8,15
White extremists,1970,217,3,6,4
Black Nationalists,1970,217,3,6,20
Left-Wing Militants,1970,217,3,6,2
Student Radicals,1970,217,7,8,1
Popular Revolutionary Vanguard (VPR),1970,30,6,13,7
Student Radicals,1970,217,7,8,4
Black Nationalists,1970,217,3,6,3
Black Nationalists,1970,217,3,6,3
Student Radicals,1970,217,7,8,4
Student Radicals,1970,217,7,8,8
Eritrean Liberation Front,1970,65,6,13,10
Left-Wing Militants,1970,217,3,6,4
Left-Wing Militants,1970,217,4,7,4
Puerto Rican Nationalists,1970,217,3,6,1
White extremists,1970,217,7,8,2
Chicano Liberation Front,1970,217,3,6,8
White extremists,1970,217,3,8,4
White extremists,1970,217,1,5,14
Left-Wing Militants,1970,217,3,6,2
Black Panthers,1970,217,3,6,1
