year,Taliban,ISIL,AlQaida,LTTE,BokoHaram
1975,0,0,0,1,0
1976,0,0,0,3,0
1977,0,0,0,13,0
1978,0,0,0,284,0
1979,0,0,0,339,0
1980,0,0,0,1408,0
1981,0,0,0,762,0
1982,0,0,0,685,0
1983,0,0,0,1689,0
1984,0,0,0,1414,0
1985,0,0,0,1367,0
1986,0,0,0,570,0
1987,0,0,0,1526,0
1988,0,0,0,2935,0
1989,0,0,0,888,0
1990,0,0,0,853,0
1991,0,0,0,658,0
1992,0,0,9,939,0
1993,0,0,0,321,0
1994,0,0,0,3,0
1995,0,0,0,30,0
1996,0,0,0,46,0
1997,0,0,0,261,0
1998,0,0,4320,1195,0
1999,0,0,0,879,0
2000,0,0,57,1150,0
2001,4,0,17841,639,0
2002,4,0,394,0,0
2003,210,0,605,0,0
2004,298,0,21,0,0
2005,399,0,73,0,0
2006,862,0,42,0,0
2007,1149,0,224,0,0
2008,1326,0,268,0,0
2009,1621,0,0,0,0
2010,1470,0,0,0,202
2011,1549,0,1,0,775
2012,5535,0,0,0,1891
2013,5189,5060,0,0,1369
2014,7287,11455,0,0,3859
2015,9767,13052,0,0,7220
2016,9296,18048,0,0,2598
